MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,Total_Risk,Infrastructure_Risk,Natural_Risk,Human_Risk,Water_Risk
3,8,6,6,4,4,6,2,3,2,5,10,7,4,2,3,4,3,2,6,0.45,90,5,9,12,18
8,4,5,7,7,9,1,5,5,4,6,9,2,6,2,1,1,9,1,3,0.475,95,2,16,18,19
3,10,4,1,7,5,4,7,4,9,2,7,4,4,8,6,1,8,3,6,0.515,103,9,15,17,18
4,4,2,7,3,4,1,4,6,4,9,4,2,6,6,8,8,6,6,10,0.52,104,14,16,14,10
3,7,5,2,5,8,5,2,7,5,7,7,6,5,3,3,4,4,3,4,0.475,95,6,11,12,14
6,6,6,4,6,4,3,1,3,5,1,10,5,9,5,5,7,3,3,2,0.47,94,8,20,15,17
6,7,4,5,5,5,4,8,8,4,6,8,4,5,4,7,7,5,4,8,0.57,114,11,15,14,20
7,3,5,5,6,6,6,7,6,5,5,4,6,9,7,10,6,5,4,5,0.585,117,14,23,16,16
6,3,5,4,5,11,3,2,9,7,8,2,8,7,5,4,9,6,5,7,0.58,116,9,18,16,9
4,3,5,6,2,3,7,7,10,4,5,7,6,5,6,7,5,7,4,8,0.555,111,11,15,12,19
5,1,7,4,5,7,4,3,0,2,6,6,4,8,5,5,7,4,2,6,0.455,91,7,18,11,16
6,9,1,4,3,7,5,8,4,6,5,8,4,3,5,6,4,6,14,3,0.555,111,20,14,13,17
4,9,4,1,5,4,2,8,4,5,4,5,7,7,3,4,2,3,6,3,0.45,90,10,14,11,17
6,3,7,9,7,4,11,7,8,3,1,4,5,4,2,3,4,6,7,4,0.525,105,10,12,19,18
8,1,9,4,6,7,6,3,4,2,8,4,3,2,6,4,5,4,2,8,0.48,96,6,16,12,16
7,2,4,6,5,5,6,6,2,4,5,2,5,3,4,2,8,3,4,5,0.44,88,6,14,15,12
7,4,4,4,10,3,7,2,6,7,5,4,5,2,6,1,3,4,4,5,0.465,93,5,15,21,10
4,7,7,6,5,5,6,6,2,8,6,3,3,4,7,6,4,5,5,7,0.53,106,11,15,19,16
5,2,6,4,5,3,7,3,5,4,9,4,8,5,1,7,3,3,4,6,0.47,94,11,11,13,13
5,6,2,5,2,11,2,4,6,4,3,1,6,1,8,8,4,9,4,6,0.485,97,12,14,11,7
7,9,8,8,7,2,2,5,8,7,6,4,11,7,4,2,6,3,3,1,0.55,110,5,18,22,17
5,8,8,9,8,5,6,3,4,4,6,5,4,4,9,5,10,8,4,6,0.605,121,9,18,21,16
3,6,8,5,6,5,7,6,2,3,6,6,6,2,3,6,2,8,4,5,0.495,99,10,8,14,20
6,11,4,1,5,6,4,2,1,1,6,3,6,6,5,6,5,9,2,7,0.48,96,8,17,7,9
2,1,7,4,7,3,6,4,3,2,7,7,4,8,3,5,9,5,6,4,0.485,97,11,13,13,18
9,4,2,6,4,5,8,6,5,5,4,2,6,3,5,1,6,1,2,5,0.445,89,3,17,15,10
2,5,5,1,5,7,4,7,9,5,6,5,2,5,4,3,6,5,2,6,0.47,94,5,11,11,17
6,10,4,9,5,2,4,3,7,3,7,4,5,4,8,6,6,4,5,8,0.55,110,11,18,17,11
7,2,3,2,3,5,5,6,5,6,5,5,2,4,2,5,3,10,9,8,0.485,97,14,13,11,14
8,8,9,4,5,5,4,9,7,2,9,3,8,3,4,3,3,8,6,1,0.545,109,9,15,11,21
6,11,5,7,3,6,9,5,6,7,3,7,4,4,4,4,6,4,8,6,0.575,115,12,14,17,17
2,4,6,5,4,6,5,6,4,8,7,2,4,5,2,6,5,5,0,8,0.47,94,6,9,17,14
3,6,7,5,1,6,7,4,2,4,6,3,7,4,4,4,1,5,4,3,0.43,86,8,11,10,14
4,6,4,8,7,4,4,8,2,7,5,5,3,8,7,8,2,6,2,3,0.515,103,10,19,22,17
